key	en-US	pt-BR
K45::ADR.main[localesFmt.household]	The {surname} Family	A Família {surname}
K45::ADR.main[overrideSettings.title]	Name override settings	Opções de substituição de nomes
K45::ADR.main[overrideSettings.useVanillaOptionLbl]	--Use Vanilla Generator--	--Usar gerador de nomes padrão--
K45::ADR.main[overrideSettings.subtitle]	Setup the files to replace the game name generators	Configure os arquivos de nomes para substituir os geradores de nomes do jogo
K45::ADR.main[overrideSettings.maleNamesFile]	Male names file	Arquivo de nomes masculinos
K45::ADR.main[overrideSettings.femaleNamesFile]	Female names file	Arquivo de nomes femininos
K45::ADR.main[overrideSettings.surnamesFile]	Surnames file	Arquivo de sobrenomes
K45::ADR.main[overrideSettings.firstNameAtStart]	Use the surname ahead of the name	Usar sobrenome antes do nome
K45::ADR.main[overrideSettings.dogsFile]	Dogs names files	Arquivo com nomes de cães
K45::ADR.main[roadPrefixSettings.title]	Road qualifier rules editor	Editor de qualificadores de vias
K45::ADR.main[roadPrefixSettings.addNewRule]	Add new rule	Adicionar nova regra
K45::ADR.main[roadPrefixSettings.subtitle]	Create rules to add road qualifiers to the names generated by this mod. NOTE: The placeholder '{name}' is mandatory since it will be replaced by the generated name.	Crie regras para qualificar os nomes gerados para ruas a partir deste mod. NOTA: Deve ser mantido o placeholder '{name}' para que seja substituído pelo nome gerado.
K45::ADR.main[roadPrefixSettings.defaultFormat]	Default format	Formato padrão
K45::ADR.main[roadPrefixSettings.patternFormat]	Name format pattern for this rule	Formatação para esta regra
K45::ADR.main[roadPrefixSettings.minimumSpeed]	"Required minimum speed (equal or higher, in km/h)"	"Velocidade de via mínima requerida (igual ou maior, em km/h)"
K45::ADR.main[roadPrefixSettings.maximumSpeed]	"Required maximum speed (equal or lower, in km/h)"	"Velocidade de via máxima requerida (igual ou menor, em km/h)"
K45::ADR.main[roadPrefixSettings.flagEnableZoning]	Has zoning	Via suporta zoneamento
K45::ADR.main[roadPrefixSettings.flagSeparatedCarriageways]	Have median between carriageways	Via tem canteiro central
K45::ADR.main[roadPrefixSettings.flagPreferTrafficLights]	Does prefer to create traffic lights	Via tem tendência a gerar semáforos
K45::ADR.main[roadPrefixSettings.flagDefaultIsForward]	Default is forward (???)	Padrão é para frente (???)
K45::ADR.main[roadPrefixSettings.flagUseHighwayRules]	Is using Highway Rules	Via é tratada como rodovia
K45::ADR.main[roadPrefixSettings.flagDefaultIsBackward]	Default is backward (???)	Padrão é para trás (???)
K45::ADR.main[roadPrefixSettings.flagHasStreetLights]	Has street lights by default	Tem postes de iluminação por padrão
K45::ADR.main[roadPrefixSettings.requiredOrForbiddenTitle]	Road prefab flags required/forbidden/ignored to check	Características da via a serem requeridas/proibidas/ignoradas para aplicar essa regra
K45::ADR.main[overrideSettings.roadsFile]	Road names file	Arquivo de nomes de rua
K45::ADR.main[overrideSettings.useRoadNameAsStationName]	Use road name as station name	Usar nome da rua como nome da estação de passageiros
K45::ADR.main[overrideSettings.useRoadNameAsCargoStationName]	Use road name as cargo station name	Usar nome da rua como nome da estação de carga
K45::ADR.main[overrideSettings.districtsFile]	District names file	Arquivo com nomes de distritos
K45::ADR.main[overrideSettings.useDistrictNameAsStationName]	Use district name as station name for the first station of each modal	Usar nome de distrito na primeira estação de passageiros de cada tipo
K45::ADR.main[overrideSettings.useDistrictNameAsCargoStationName]	Use district name as cargo station name for the first station of each modal	Usar nome de distrito na primeira estação de carga de cada tipo
K45::ADR.main[overrideSettings.tabCitizen]	Citizens	Cidadãos
K45::ADR.main[overrideSettings.tabRoadsDistricts]	Roads & Districts	Vias e Distritos
K45::ADR.main[overrideSettings.useSameAsCityOptionLbl]	--Use same as City--	--Usar o mesmo que a cidade--
K45::ADR.main[overrideSettings.perDistrictRoadsFile]	Names files by district	Arquivos de nomes a depender do distrito
K45::ADR.main[overrideSettings.maximumGeneratedGivenNames]	Maximum generated given names (1~5)	Máximo de nomes próprios (1 a 5)
K45::ADR.main[overrideSettings.maximumGeneratedSurnames]	Maximum generated surnames (1~5)	Máximo de sobrenomes (1 a 5)
K45::ADR.main[roadPrefixSettings.requireFullBridgeState]	Require/forbid if all segments are elevated (≥ 6m)	Via é elevada (6m de altura ou mais)
K45::ADR.main[roadPrefixSettings.loadFromDefaults]	Load from defaults file previously saved	Carregar do arquivo padrão salvo anteriormente
K45::ADR.main[roadPrefixSettings.saveBtn]	Save as default file	Salvar como arquivo padrão
K45::ADR.main[roadPrefixSettings.loadingWaiting]	Loading...	Carregando...
K45::ADR.main[roadPrefixSettings.loadSuccess]	Loaded!	Carregado!
K45::ADR.main[roadPrefixSettings.loadErrorCheckLogs]	Error loading file; check logs!	Erro carregando arquivo; confira os logs!
K45::ADR.main[roadPrefixSettings.savingWaiting]	Saving...	Salvando...
K45::ADR.main[roadPrefixSettings.saved]	Saved!	Salvo!
K45::ADR.main[roadPrefixSettings.loadErrorFileNotFound]	The defaults file doesn't exists!	O arquivo padrão ainda não foi salvo!
K45::ADR.main[namesetManagement.title]	Nameset management	Gerenciamento de listas de nomes
K45::ADR.main[cityNamesetsLibrary.title]	City namesets	Listas de nomes desta cidades
K45::ADR.main[cityNamesetsLibrary.subtitle]	Import files or create names lists to use in custom naming	Importe arquivos ou crie listas de nomes para usar em nomenclatura personalizada
K45::ADR.main[cityNamesetsLibrary.noNamesetsMsg]	No namesets at this city!	Não há listas de nomes nesta cidade!
K45::ADR.main[cityNamesetsLibrary.clickToImport]	Click here to import from disk	Clique aqui para importar do disco
K45::ADR.main[cityNamesetsLibrary.clickToCreate]	Click here to create a new file	Clique aqui para criar um novo arquivo
K45::ADR.main[cityNamesetsLibrary.importFromLibrary]	Import from disk library	Importar da biblioteca de disco
K45::ADR.main[cityNamesetsLibrary.createNewNameset]	Create new nameset	Criar nova lista de nomes
K45::ADR.main[cityNamesetsLibrary.deleteNameset]	Delete	Excluir
K45::ADR.main[cityNamesetsLibrary.editNameset]	Edit	Editar
K45::ADR.main[namesetDelete.title]	Delete nameset from city	Excluir nameset da cidade
K45::ADR.main[namesetDelete.subtitle]	Are you sure you want to delete this nameset? All naming settings using this nameset will be reset	Tem certeza de que deseja excluir esta lista de nomes? Todas as configurações de nomenclatura usando esta lista serão redefinidas
K45::ADR.main[namesetDelete.yes]	Yes	Sim
K45::ADR.main[namesetDelete.no]	No	Não
K45::ADR.main[namesetEditor.title]	Edit nameset	Editar lista de nomes
K45::ADR.main[namesetEditor.subtitle]	Add one name each line to create an entry. Repeat the same name in multiple lines to make it more likely to appear.	Adicione um nome em cada linha para criar uma entrada. Repita o mesmo nome em várias linhas para aumentar a probabilidade dele aparecer.
K45::ADR.main[namesetsImport.cityImportName]	Import at path	Importar no caminho
K45::ADR.main[namesetEditor.cancel]	Cancel	Cancelar
K45::ADR.main[namesetEditor.save]	Save	Salvar
K45::ADR.main[namesetsLibrary.title]	Disk nameset library	Biblioteca de listas de nomes do disco
K45::ADR.main[namesetsLibrary.subtitle]	Here you can find your exported files and the ones downloaded from other sources.	Aqui você pode encontrar seus arquivos exportados e baixados de outras fontes.
K45::ADR.main[namesetsLibrary.back]	Back	Voltar
K45::ADR.main[namesetsLibrary.reloadFiles]	Reload files	Recarregar arquivos
K45::ADR.main[namesetsLibrary.reloadingFiles]	Reloading files...	Recarregando arquivos...
K45::ADR.main[cityNamesetsLibrary.copyToCity]	Copy nameset to city	Copiar lista de nomes para cidade
K45::ADR.main[namesetsImport.title]	Import nameset	Importar lista de nomes
K45::ADR.main[namesetsImport.subtitle]	Check the details to import this file to use in the city	Confira os detalhes para importar este arquivo para usar na cidade
K45::ADR.main[namesetsImport.cancel]	Cancel	Cancelar
K45::ADR.main[namesetsImport.import]	Import	Importar
K45::ADR.main[cityNamesetsLibrary.exportNameset]	Export to disk	Exportar para o disco
K45::ADR.main[namesetsLibrary.goToLibraryFolder]	Go to library folder	Ir à pasta da biblioteca
K45::ADR.main[cityNamesetsLibrary.fileExportedToLocation]	File exported to location:	Arquivo exportado para o local:
